"filename", "language", "Python", "JavaScript", "pip requirements", "Markdown", "PostCSS", "HTML", "JSON", "comment", "blank", "total"
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\README.md", "Markdown", 0, 0, 0, 71, 0, 0, 0, 0, 45, 116
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\agents\__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\agents\chat_bot_agent\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\agents\chat_bot_agent\chat_bot_agent.py", "Python", 44, 0, 0, 0, 0, 0, 0, 11, 20, 75
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\agents\chat_bot_agent\tool_handler.py", "Python", 27, 0, 0, 0, 0, 0, 0, 2, 8, 37
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\agents\chat_bot_agent\tools\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\agents\chat_bot_agent\tools\is_english.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\agents\chat_bot_agent\tools\summarizer.py", "Python", 42, 0, 0, 0, 0, 0, 0, 0, 18, 60
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\agents\chat_bot_agent\tools\summarizer_NEW.py", "Python", 41, 0, 0, 0, 0, 0, 0, 0, 13, 54
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\agents\chat_bot_agent\tools\translator.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\agents\llm\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\agents\llm\llm.py", "Python", 108, 0, 0, 0, 0, 0, 0, 52, 52, 212
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\agents\rag_agent\rag_agent.py", "Python", 34, 0, 0, 0, 0, 0, 0, 3, 14, 51
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\agents\rag_agent\vector_store\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\agents\rag_agent\vector_store\embedder.py", "Python", 36, 0, 0, 0, 0, 0, 0, 4, 13, 53
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\agents\rag_agent\vector_store\file_load.py", "Python", 102, 0, 0, 0, 0, 0, 0, 0, 28, 130
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\agents\rag_agent\vector_store\pinecorn_client.py", "Python", 73, 0, 0, 0, 0, 0, 0, 6, 21, 100
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\agents\rag_agent\vector_store\vectore_search.py", "Python", 23, 0, 0, 0, 0, 0, 0, 3, 15, 41
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\agents\web_search\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\agents\web_search\web_agent.py", "Python", 16, 0, 0, 0, 0, 0, 0, 0, 5, 21
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\backup\main.py", "Python", 14, 0, 0, 0, 0, 0, 0, 3, 10, 27
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\backup\static_index.html", "HTML", 0, 0, 0, 0, 0, 140, 0, 23, 24, 187
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\chatbot.py", "Python", 280, 0, 0, 0, 0, 0, 0, 1, 63, 344
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\config\__init__.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\config\config.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\css\button.css", "PostCSS", 0, 0, 0, 0, 26, 0, 0, 0, 5, 31
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\css\buttons.css", "PostCSS", 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\css\checkbox.css", "PostCSS", 0, 0, 0, 0, 47, 0, 0, 0, 9, 56
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\css\conversation.css", "PostCSS", 0, 0, 0, 0, 194, 0, 0, 5, 41, 240
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\css\dropdown.css", "PostCSS", 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\css\field.css", "PostCSS", 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\css\global.css", "PostCSS", 0, 0, 0, 0, 92, 0, 0, 0, 23, 115
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\css\hljs.css", "PostCSS", 0, 0, 0, 0, 59, 0, 0, 1, 9, 69
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\css\label.css", "PostCSS", 0, 0, 0, 0, 19, 0, 0, 0, 1, 20
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\css\mail.css", "PostCSS", 0, 0, 0, 0, 130, 0, 0, 9, 33, 172
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\css\main.css", "PostCSS", 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\css\message-input.css", "PostCSS", 0, 0, 0, 0, 30, 0, 0, 0, 12, 42
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\css\message.css", "PostCSS", 0, 0, 0, 0, 213, 0, 0, 2, 39, 254
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\css\options.css", "PostCSS", 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\css\right-sidebar.css", "PostCSS", 0, 0, 0, 0, 366, 0, 0, 29, 59, 454
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\css\select.css", "PostCSS", 0, 0, 0, 0, 28, 0, 0, 1, 7, 36
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\css\settings.css", "PostCSS", 0, 0, 0, 0, 36, 0, 0, 0, 9, 45
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\css\sidebar.css", "PostCSS", 0, 0, 0, 0, 197, 0, 0, 4, 42, 243
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\css\stop-generating.css", "PostCSS", 0, 0, 0, 0, 33, 0, 0, 0, 6, 39
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\css\style.css", "PostCSS", 0, 0, 0, 0, 20, 0, 0, 0, 0, 20
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\css\typing.css", "PostCSS", 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\img\site.webmanifest", "JSON", 0, 0, 0, 0, 0, 0, 19, 0, 0, 19
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\js\change-language.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 4, 7, 50
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\js\chat.js", "JavaScript", 0, 605, 0, 0, 0, 0, 0, 19, 118, 742
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\js\drop-down.js", "JavaScript", 0, 73, 0, 0, 0, 0, 0, 3, 18, 94
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\js\highlight.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\js\highlightjs-copy.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\js\icons.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\js\import-file.js", "JavaScript", 0, 120, 0, 0, 0, 0, 0, 3, 28, 151
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\js\index-name.js", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 1, 12, 87
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\js\mail.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 3, 15, 84
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\js\sidebar-toggler.js", "JavaScript", 0, 113, 0, 0, 0, 0, 0, 7, 17, 137
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\js\theme-toggler.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 6, 23
"d:\Programming\Code Jam 2025\Hisory Chat Bot\history-chat-bot\app\static\js\toggle-button.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
